ID,Century,Location,Result for the United States and its Allies,Presidents of the United States,GDP Impact Notes,War Description,Start Year,End Year,Declared War?,Outcome,Cold War Proxy?
10,19th Century,"Pensacola,Spanish FloridaBarracks and tents atFort BrookenearTampa Bay",US victory: Spain cedes Spanish Florida to the United States in the Adams-Onís Treaty of 1819. The United States forcibly relocates Seminole in northern Florida to a reservation in the center of the peninsula in the Treaty of Moultrie Creek of 1823,James Monroe,Frontier conflict; led to acquisition of Florida,"A conflict sparked by US military raids into Spanish Florida to recapture escaped slaves and subdue Seminole raids on American settlements. General Andrew Jackson's invasion captured Spanish forts and destabilized Spanish control, accelerating the cession of Florida to the United States in 1819.",1817,1818,No,Victory,No
11,19th Century,Missouri River ,Inconclusive/Other Result: White Peace treaty agreed by US Col Leavenworth,James Monroe,Small frontier skirmish; minimal economic impact,A short punitive expedition against the Arikara tribe in present-day South Dakota following an attack on an American fur trading party led by William Henry Ashley. Colonel Henry Leavenworth's inconclusive campaign exposed the challenges of projecting military power deep into the frontier.,1823,1823,No,Stalemate,No
12,19th Century,Illinois and Michigan Territory,US-allied victory: Ho-Chunkscede lead mining region to the United States,John Quincy Adams,Brief frontier conflict; no significant economic impact,"A minor uprising in Wisconsin Territory by a faction of Winnebago (Ho-Chunk) warriors following tensions over lead mining encroachments and the murder of settlers. The conflict was quickly suppressed without major battle, resulting in further Winnebago land cessions.",1827,1827,No,Victory,No
13,19th Century,Illinois and Michigan Territory ,US-allied victory: End of Native armed resistance to U.S. expansion in the Old Northwest. Black Hawk Purchase (1832). The United States purchases Potawatomiland in theTreaty of Tippecanoe (1832). The United States purchases the rest of Potawatomi land west of theMississippi River in theTreaty of Chicago (1833).,Andrew Jackson,Short conflict; modest frontier expenditure,"A brief conflict in Illinois and Wisconsin Territory when Sauk leader Black Hawk led a band of warriors and families back across the Mississippi River to reclaim ancestral lands. It ended with the massacre at Bad Axe, destroying Black Hawk's band and extinguishing Native resistance east of the Mississippi.",1832,1832,No,Victory,No
14,19th Century,"Florida,United States ","US victory: Approximately 3,800 Seminoles transported to the Indian Territory. Approximately 300 remain in Everglades","Andrew Jackson (March 4, 1829 - March 4, 1837), Martin Van Buren (March 4, 1837 - March 4, 1841), William Henry Harrison (March 4, 1841 - April 4, 1841), John Tyler (April 4, 1841 -March 4, 1845)",Costly guerrilla war; ~$30–40M expenditure,"The longest and costliest of the three Seminole Wars, fought in the swamps of Florida as the US attempted to remove the Seminole people to Oklahoma under the Indian Removal Act. Led by chiefs like Osceola, the Seminoles used guerrilla warfare to resist, and many were never fully removed.",1835,1842,No,Victory,No
15,19th Century,South-central United States,US victory,"Andrew Jackson (March 4, 1829 - March 4, 1837), Martin Van Buren (March 4, 1837 - March 4, 1841), William Henry Harrison (March 4, 1841 - April 4, 1841), John Tyler (April 4, 1841 -March 4, 1845), James K. Polk (March 4, 1845 - March 4, 1849), Zachary Taylor (March 4, 1849 - July 9, 1850), Millard Fillmore (July 9, 1850 - March 4, 1853), Franklin Pierce (March 4, 1853 - March 4, 1857), James Buchanan (March 4, 1857 - March 4, 1861), Abraham Lincoln (March 4, 1861 - April 15, 1865), Andrew Johnson (April 15, 1865 - March 4, 1869), Ulysses S. Grant (March 4, 1869 - March 4, 1877)",Ongoing frontier conflict; modest federal expenditure,"Decades of violent conflict between Comanche bands and Texan settlers, ranging from the early Republic of Texas era through US Army campaigns. The Comanche Empire fiercely resisted Anglo encroachment, raiding settlements deep into Texas until their final defeat in the Red River War of 1874–75.",1836,1875,No,Victory,No
16,19th Century,"Texas, New Mexico, California and Mexico",US-allied victory: Treaty of Guadalupe Hidalgo. Mexican Cession. Mexican recognition of US sovereignty overTexas and California (among other territories).,James K. Polk,War cost ~$100M; gained vast western territories,"A war triggered by the US annexation of Texas and a disputed border along the Rio Grande. American forces invaded Mexico on multiple fronts, capturing Mexico City, and the resulting Treaty of Guadalupe Hidalgo transferred roughly half of Mexico's territory—including California—to the United States.",1846,1848,Yes,Victory,No
17,19th Century,Oregon ,US victory: Cayusereduced in numbers and forced to cede most of their lands,"James K. Polk (March 4, 1845 - March 4, 1849), Zachary Taylor (March 4, 1849 - July 9, 1850), Millard Fillmore (July 9, 1850 - March 4, 1853), Franklin Pierce (March 4, 1853 - March 4, 1857)",Small frontier conflict in Oregon Territory,"A conflict in the Oregon Territory following the Cayuse massacre of missionaries Marcus and Narcissa Whitman and others. Oregon volunteers pursued the perpetrators while broader tensions destabilized the region, contributing to the formal organization of Oregon as a US territory.",1848,1850,No,Victory,No
18,19th Century,Southwestern United States ,US victory: Apaches moved to reservations,"James K. Polk (March 4, 1845 - March 4, 1849), Zachary Taylor (March 4, 1849 - July 9, 1850), Millard Fillmore (July 9, 1850 - March 4, 1853), Franklin Pierce (March 4, 1853 - March 4, 1857), James Buchanan (March 4, 1857 - March 4, 1861), Abraham Lincoln (March 4, 1861 - April 15, 1865), Andrew Johnson (April 15, 1865 - March 4, 1869), Ulysses S. Grant (March 4, 1869 - March 4, 1877), Rutherford B. Hayes (March 4, 1877 - March 4, 1881), James A. Garfield (March 4, 1881- September 19, 1881), Chester A. Arthur (September 19, 1881 - March 4, 1885), Grover Cleveland (March 4, 1885 - March 4, 1889), Benjamin Harrison (March 4, 1889- March 4, 1893), Grover Cleveland (March 4, 1893 - March 4, 1897), William McKinley (March 4, 1897 - September 14, 1901), Theodore Roosevelt (September 14, 1901 - March 4, 1909), William Howard Taft (March 4, 1909 - March 4, 1913), Woodrow Wilson (March 4, 1913 - March 4, 1921), Warren G. Harding (March 4, 1921 - August 2, 1923), Calvin Coolidge (August 2, 1923 - March 4, 1929)",Prolonged but low-intensity frontier conflict,"A prolonged series of campaigns across the Southwest as the US Army attempted to confine Apache bands to reservations. Leaders like Cochise, Victorio, and Geronimo led fierce resistance over four decades; the wars finally ended with Geronimo's surrender in 1886.",1849,1886,No,Victory,No
19,19th Century,New Mexico ,US victory: Long Walk of the Navajo. Navajos moved to reservations,"James K. Polk(March 4, 1845 - March 4, 1849)Zachary Taylor(March 4, 1849 - July 9, 1850)Millard Fillmore(July 9, 1850 - March 4, 1853)Franklin Pierce(March 4, 1853 - March 4, 1857)James Buchanan(March 4, 1857 - March 4, 1861)Abraham Lincoln(March 4, 1861 - April 15, 1865)Andrew Johnson(April 15, 1865 - March 4, 1869)",Culminated in Long Walk; modest federal expenditure,"Cycles of conflict between the US Army and the Navajo people over settlement encroachment in the Southwest. General Kit Carson's scorched-earth campaign forced mass Navajo surrender, leading to the brutal Long Walk to Bosque Redondo; the Navajo eventually secured a treaty allowing their return to their homeland.",1849,1868,No,Victory,No
20,19th Century,Kansas and Missouri ,"Free-Stater victory: Kansas admitted as a free state on January 29, 1861.","Franklin Pierce (March 4, 1853 - March 4, 1857), James Buchanan (March 4, 1857 - March 4, 1861)",Political crisis; precursor to Civil War,"A violent guerrilla conflict between pro-slavery and anti-slavery settlers in Kansas Territory following the Kansas-Nebraska Act of 1854. Atrocities committed by both sides, including John Brown's Pottawatomie Massacre, made Kansas a preview of the coming Civil War and intensified national sectional tensions.",1854,1861,No,Stalemate,No
21,19th Century,Washington,"US victory: Indians relocated to Siletz, Grand Ronde and Coast Reservations",Franklin Pierce,Small territorial conflict; minimal economic impact,"A conflict in Washington Territory between US forces and an alliance of Native tribes who opposed the Medicine Creek Treaty's confinement of tribes to small reservations. After several engagements, including the shelling of the town of Seattle, the uprising was suppressed and tribal leaders executed.",1855,1856,No,Victory,No
22,19th Century,Rogue Valley,"US victory: Indians relocated to Siletz, Grand Ronde and Coast Reservations",Franklin Pierce,Frontier conflict in Oregon; modest expenditure,"Two separate conflicts in southern Oregon's Rogue River Valley pitting US troops and settler volunteers against the Takelma and allied tribes. Sparked by unprovoked settler massacres of Native villages, the wars ended with the forced removal of surviving tribal members to the Coast Reservation.",1855,1856,No,Victory,No
23,19th Century,"Pensacola,Florida","US victory: By late 1850s, most Seminoles forced to leave their land; a few hundred remain deep in theEverglades on land unwanted by white settlers","Franklin Pierce (March 4, 1853 - March 4, 1857), James Buchanan (March 4, 1857 - March 4, 1861), Abraham Lincoln (March 4, 1861 - April 15, 1865), Andrew Johnson (April 15, 1865 - March 4, 1869)",Final Seminole conflict; low intensity,"The final and smallest of the Seminole Wars, triggered by a US Army survey party's attack on a Seminole camp. A small band under Chief Billy Bowlegs conducted raids before accepting removal payments and emigrating to Oklahoma, leaving only a remnant Seminole population in the Florida Everglades.",1855,1858,No,Victory,No
24,19th Century,Washington Territory ,US victory,"Franklin Pierce (March 4, 1853 - March 4, 1857), James Buchanan (March 4, 1857 - March 4, 1861), Abraham Lincoln (March 4, 1861 - April 15, 1865), Andrew Johnson (April 15, 1865 - March 4, 1869)",Pacific Northwest conflict; modest expenditure,"A conflict in Washington and Oregon territories after the signing of the Yakama Treaty created bitter resentment over land cessions. The murder of Indian agent Andrew Bolon sparked a broader war involving multiple tribes; after defeats in battle, most tribes submitted and were confined to reservations.",1855,1858,No,Victory,No
25,19th Century,China  ,US victory: Treaties of Tientsin. Kowloon Peninsula and Stonecutters Island ceded to the United Kingdom as part of British Hong Kong,"Franklin Pierce (March 4, 1853 - March 4, 1857), James Buchanan (March 4, 1857 - March 4, 1861), Abraham Lincoln (March 4, 1861 - April 15, 1865), Andrew Johnson (April 15, 1865 - March 4, 1869)",Limited US naval participation; minor cost,"A war fought primarily by Britain and France against China to enforce and expand trading rights, with the United States playing a minor naval support role. The resulting treaties opened more Chinese ports to Western trade and marked a further erosion of Qing dynasty sovereignty.",1856,1860,No,Victory,No
26,19th Century,Utah Territory and Wyoming,Inconclusive/Other Result: Resolution through negotiation. Brigham Young replaced as governor of the territory. Full amnesty for charges of sedition and treason issued to the citizens of Utah Territory by President James Buchanan on the condition that they accept American Federal authority,"Franklin Pierce (March 4, 1853 - March 4, 1857), James Buchanan (March 4, 1857 - March 4, 1861), Abraham Lincoln (March 4, 1861 - April 15, 1865), Andrew Johnson (April 15, 1865 - March 4, 1869)",Expedition cost ~$15M; no major battle,"A bloodless conflict in which President Buchanan sent the US Army to Utah Territory to install a non-Mormon governor and assert federal authority over the LDS-dominated territory. After tense maneuvering, a compromise was reached with Brigham Young; no major battles were fought.",1857,1858,No,Stalemate,No
27,19th Century,Mexico,Liberals- US victory,"Franklin Pierce (March 4, 1853 - March 4, 1857), James Buchanan (March 4, 1857 - March 4, 1861), Abraham Lincoln (March 4, 1861 - April 15, 1865), Andrew Johnson (April 15, 1865 - March 4, 1869)",US provided diplomatic support to Juárez; no direct military cost,"A Mexican civil war between Liberal and Conservative factions, with the United States diplomatically recognizing the Liberal government of Benito Juárez. Though not directly involved militarily, US support helped legitimize Juárez's constitutional government, which ultimately prevailed.",1857,1861,No,N/A (Non-combat),No
28,19th Century,San Juan Islands ,Inconclusive/Other Result: Treaty of Washington. Mostly a bloodless war- San Juan Islands awarded to the United States following third-party arbitration,James Buchanan,Bloodless standoff; no economic impact,"A bloodless confrontation between American and British forces on San Juan Island in present-day Washington State, triggered by the shooting of a Hudson's Bay Company pig. Both sides occupied the island for 12 years until international arbitration awarded San Juan Island to the United States in 1872.",1859,1872,No,Victory,No
29,19th Century,West Virginia ,US victory,James Buchanan,Minor incident; significant political repercussions,"Abolitionist John Brown led a band of 21 men to seize the federal arsenal at Harpers Ferry, Virginia, hoping to spark a slave uprising. The raid was quickly suppressed by Colonel Robert E. Lee; Brown was tried and executed, but his actions dramatically heightened sectional tensions preceding the Civil War.",1859,1859,No,Defeat,No
30,19th Century,Texas and Mexico,US-allied victory,James Buchanan,Border conflict; limited federal expenditure,"A series of border conflicts ignited by Mexican-American Juan Cortina's raids against Anglo settlers and authorities in South Texas. Cortina led a guerrilla campaign protesting the dispossession of Mexican Texans, and the US Army and Texas Rangers struggled for years to contain his forces along the Rio Grande.",1859,1861,No,Stalemate,No
31,19th Century,"Pyramid Lake,Nevada",US victory,James Buchanan,Short Nevada Territory conflict,"A conflict in Utah and Nevada territories between Northern Paiute warriors and American settlers and Pony Express stations. Sparked by settler provocations, the war disrupted communications across the Nevada desert before US forces and local volunteers subdued the Paiute bands.",1860,1860,No,Victory,No
32,19th Century,"Southern United States, Indian Territory, Northeastern United States, Western United States, Atlantic Ocean ",US victory: Dissolution of the Confederate States. U.S.territorial integrity preserved. Beginning of the Reconstruction Era. U.S. Federal government expands further control over land and railroad rights in theIndian Territory.,Abraham Lincoln,Cost ~$6.2B (1860s); permanent restructuring of US economy,"The defining catastrophe of American history, fought between the Union and the Confederate States of America over slavery, states' rights, and the future of the nation. Four years of brutal industrial-age warfare cost more American lives than any other conflict; the Union's victory preserved the United States and ended slavery.",1861,1865,No,Victory (Union),No
33,19th Century,Arizona,US victory,"Abraham Lincoln(March 4, 1861 - April 15, 1865)Andrew Johnson(April 15, 1865 - March 4, 1869)Ulysses S. Grant(March 4, 1869 - March 4, 1877)",Arizona Territory conflict; modest expenditure,"A prolonged campaign in Arizona Territory against the Yavapai and associated Dilzhe'e Apache, who resisted reservation confinement. The conflict culminated in the Skeleton Cave Massacre and the forced removal of surviving Yavapai to the San Carlos Reservation in 1875.",1861,1875,No,Victory,No
34,19th Century,Minnesota and Dakota ,US victory,Abraham Lincoln,Minnesota uprising; modest federal response cost,"A sudden and violent uprising in Minnesota by Dakota Sioux warriors, driven by broken treaty promises, withheld annuities, and starvation. Hundreds of settlers and soldiers were killed before the uprising was suppressed; 38 Dakota men were hanged in the largest mass execution in American history.",1862,1862,No,Victory,No
35,19th Century,"Colorado, Wyoming, and Nebraska",Inconclusive/Other Result: Military and congressional hearings against John Chivington,Abraham Lincoln,Plains conflict during Civil War period,"A brutal conflict on the Colorado plains between US forces and allied Cheyenne and Arapaho bands, marked most infamously by Colonel Chivington's massacre of a peaceful Cheyenne village at Sand Creek in 1864. The massacre outraged even contemporaries, escalating rather than ending the plains wars.",1863,1865,No,Victory,No
36,19th Century,,US victory,"Abraham Lincoln (March 4, 1861 - April 15, 1865), Andrew Johnson (April 15, 1865 - March 4, 1869)",Oregon/Idaho frontier conflict,"The deadliest of the Pacific Northwest Indian wars, fought against the Northern Paiute and Bannock peoples in Oregon, Idaho, and Nevada. General George Crook's aggressive mobile campaigns across the high desert wore down the resistant bands, resulting in their surrender and reservation confinement.",1864,1868,No,Victory,No
37,19th Century,Powder River State,Inconclusive,Andrew Johnson,Post-Civil War plains conflict,"A US Army punitive expedition into Powder River country targeting Lakota, Cheyenne, and Arapaho bands who refused reservation life. Poor planning and harsh winter conditions undermined the campaign; the army's failure contributed directly to Red Cloud's War.",1865,1865,No,Stalemate,No
38,19th Century,Powder River State,Lakota-allied victory: Treaty of Fort Laramie (1868). Legal control of Powder River Country ceded to Native Americans. Creation of the Great Sioux Reservation(including theBlack Hills),Andrew Johnson,Resulted in Fort Laramie Treaty; modest expenditure,The only war in which the United States signed a peace treaty conceding to the victor's terms. Oglala Lakota chief Red Cloud's forces besieged forts along the Bozeman Trail and annihilated Captain Fetterman's command; the 1868 Fort Laramie Treaty closed the trail and recognized the Black Hills as Lakota territory.,1866,1868,No,Defeat,No
39,19th Century,"Hengchun, Taiwan, Qing China",Paiwan victory,Andrew Johnson,Naval punitive expedition; minimal cost,"A US naval punitive expedition to Taiwan after the crew of a shipwrecked American vessel were killed by indigenous Paiwan peoples. The landing party was ambushed, and the US withdrew without achieving its objectives, one of the rare early instances of a failed American military punitive action.",1867,1867,No,Defeat,No
40,19th Century,Western United States  ,US victory,"Andrew Johnson (April 15, 1865 - March 4, 1869), Ulysses S. Grant (March 4, 1869 - March 4, 1877)",Southern plains campaign; modest expenditure,"A series of US Army operations across the southern Great Plains targeting Comanche, Kiowa, and Southern Cheyenne bands who resisted reservation life. Multiple columns converged on the Staked Plains, eventually destroying villages and horse herds and forcing the tribes onto reservations in Indian Territory.",1867,1875,No,Victory,No
41,19th Century,Ganghwa Island ,Inconclusive/Other Result: American military victory. American diplomatic failure. Withdrawal of American forces. Korea retains isolationist policies. Eventual signing of the United States-Korea Treaty of 1882,Ulysses S. Grant,Naval expedition; minimal economic impact,A US naval expedition to Korea to open trade relations and investigate the destruction of the American merchant vessel General Sherman. US Marines and sailors stormed Korean forts on Ganghwa Island but were unable to force a treaty; Korea remained closed to Western trade for another decade.,1871,1871,No,Stalemate,No
42,19th Century,California and Oregon ,US victory,Ulysses S. Grant,Small but costly guerrilla conflict in California,"A small but costly guerrilla conflict in the lava beds of northern California and Oregon, where a band of fewer than 60 Modoc warriors under Captain Jack held off US Army forces for months. The assassination of General Canby during peace negotiations—the only US general killed in the Indian Wars—shocked the nation.",1872,1873,No,Victory,No
43,19th Century,Texas,US victory: End to the Texas-Indian Wars,Ulysses S. Grant,Ended Comanche resistance; modest expenditure,"A coordinated US Army campaign that ended Comanche, Kiowa, and Southern Cheyenne resistance on the southern plains. General Ranald Mackenzie's destruction of the tribes' winter camps and horse herds in Palo Duro Canyon broke their ability to resist, ending free Native life on the southern plains.",1874,1875,No,Victory,No
44,19th Century,Texas and Mexico ,US victory: Cattle returned to Texas,Ulysses S. Grant,Brief border skirmish; no significant economic impact,"A brief cross-border clash in which Texas Rangers and US soldiers pursued cattle raiders into Mexico, attacking the Las Cuevas ranch. Diplomatic pressure from both governments quickly ended the incursion, but the episode highlighted the chronic lawlessness and violence along the Rio Grande border.",1875,1875,No,Stalemate,No
45,19th Century,"Montana, Dakota and Wyoming ",US victory: Legal control of Powder River Country ceded to the United States,Ulysses S. Grant,Included Battle of Little Bighorn; modest federal expenditure,"A major conflict triggered by the US government's attempt to seize the Black Hills after gold was discovered there. The war's most famous episode—Custer's devastating defeat at the Little Bighorn—shocked the nation, but a massive military response ultimately shattered the Lakota and Northern Cheyenne alliance.",1876,1877,No,Victory,No
46,19th Century,Texas and Oklahoma,US victory,Ulysses S. Grant,Small conflict; minimal economic impact,"A conflict in the Texas Panhandle between US forces and Comanche warriors resisting the commercial slaughter of the Southern Plains buffalo herds. The near-extinction of the buffalo by hide hunters destroyed the Plains tribes' economic foundation, hastening their final subjugation.",1876,1877,No,Victory,No
47,19th Century,"Oregon, Idaho, Wyoming, and Montana ",US victory,Rutherford B. Hayes,Chief Joseph's retreat; modest campaign cost,"A remarkable 1,170-mile fighting retreat by Chief Joseph and roughly 700 Nez Perce men, women, and children attempting to reach Canada after refusing forced relocation. After defeating US forces in multiple engagements, they were stopped 40 miles from the Canadian border and surrendered.",1877,1877,No,Victory,No
48,19th Century,"Idaho, Oregon, and Wyoming",US victory,Rutherford B. Hayes,Short Idaho/Oregon conflict,"A conflict in Idaho and Oregon after Bannock and Northern Paiute warriors rose against the destruction of their camas root food supplies by settler hogs. General Oliver Howard's forces pursued the warriors across the Northwest, eventually fragmenting and defeating the alliance.",1878,1878,No,Victory,No
49,19th Century,"Oklahoma, Kansas, Nebraska, South Dakota and Montana ",US victory,Rutherford B. Hayes,Northern Cheyenne outbreak; modest cost,"The flight of a band of Northern Cheyenne from the hated Indian Territory reservation in Oklahoma toward their Wyoming homeland, led by chiefs Dull Knife and Little Wolf. The journey involved multiple desperate battles; most were eventually captured, and their defiant bid for freedom drew national sympathy.",1878,1879,No,Victory,No
50,19th Century,Idaho,US victory,Rutherford B. Hayes,Small Idaho mountain campaign,"A small campaign in the rugged Salmon River Mountains of Idaho against the Tukudika (Sheepeater) Shoshone, the last free Native band in Idaho. A small US Army force endured extreme terrain and weather before the tiny band of Sheepeaters surrendered.",1879,1879,No,Victory,No
51,19th Century,Mexico,US-allied victory,Rutherford B. Hayes,Apache conflict in Southwest; modest expenditure,"A guerrilla campaign led by Warm Springs Apache chief Victorio, who fled the hated San Carlos Reservation and led a small band across the Southwest and into Mexico. Victorio's fighters eluded multiple US Army columns until Mexican forces killed him at Tres Castillos in 1880.",1879,1880,No,Victory,No
52,19th Century,Colorado ,US victory,Rutherford B. Hayes,Colorado Ute conflict; modest cost,"A conflict in Colorado after Ute Indian agent Nathan Meeker, attempting to force the Ute to become farmers, called in the Army. The Ute killed Meeker and his staff and ambushed a relieving column; the aftermath led to the complete removal of the Ute from Colorado to Utah.",1879,1879,No,Victory,No
53,19th Century,Alexandria  ,US victory,Chester A. Arthur,Minimal US naval observation role; no significant cost,"A US naval squadron was dispatched to observe the Anglo-French intervention in Egypt. The US maintained strict neutrality and took no active military role, using the presence to monitor the situation and protect American commercial interests in the region.",1882,1882,No,N/A (Observer),No
54,19th Century,Montana ,US victory,Grover Cleveland,Very minor conflict; no significant impact,A brief and largely bloodless confrontation on the Crow Reservation in Montana following the arrest of a Crow warrior. Crow warriors briefly took up arms before the situation was defused through negotiation; it was one of the last serious confrontations on the northern plains reservations.,1887,1887,No,Stalemate,No
55,19th Century,South Dakota ,US victory,Benjamin Harrison,Included Wounded Knee Massacre; modest expenditure,"A military crackdown on the Ghost Dance religious movement, which promised to restore the Native world and expel settlers. Fearing an uprising, the US Army's actions led to the killing of Sitting Bull and the massacre of approximately 250 Lakota at Wounded Knee Creek—widely considered the end of the Indian Wars.",1890,1891,No,Victory,No
56,19th Century,Texas and Mexico,US-allied victory,Benjamin Harrison,Border conflict; minor federal expenditure,"A small cross-border conflict involving Mexican revolutionary Catarino Garza, who launched raids into Mexico from Texas to overthrow Porfirio Díaz. US Army and Texas Rangers patrolled the border and disrupted Garza's operations, forcing him to eventually flee to Central America.",1891,1893,No,Victory,No
57,19th Century,Arizona and Mexico ,US-allied victory,"Grover Cleveland (March 4, 1893 - March 4, 1897), William McKinley (March 4, 1897 - September 14, 1901), Theodore Roosevelt (September 14, 1901 - March 4, 1909), William Howard Taft (March 4, 1909 - March 4, 1913), Woodrow Wilson (March 4, 1913 - March 4, 1921)",Intermittent border involvement; minimal direct cost,"Decades of conflict between Yaqui indigenous people of northwestern Mexico and both Mexican and, periodically, US border forces. The Yaqui fiercely resisted dispossession of their river lands; their struggle continued well into the 20th century with occasional cross-border incidents drawing US attention.",1896,1918,No,Victory,No
58,19th Century,Samoa  ,Inconclusive/Other Result: Allies and Rebels compromise for peaceTripartite Convention. United States acquires American Samoa. United Kingdom withdraws claim in exchange for concessions in the Solomon Islands. Germany acquires German Samoa. Mata'afa Iosefo becomes paramount chief of Samoa,William McKinley,Naval intervention; minimal economic impact,"A civil war in Samoa between rival royal factions backed by different colonial powers. American and British warships bombarded the pro-German faction's positions, ultimately leading to the Tripartite Convention that partitioned Samoa between the US and Germany.",1898,1899,No,Victory,No
59,19th Century,"Cuba, Puerto Rico, Philippines and Guam ",US-allied victoryTreaty of ParisProtectorate over CubaCollapse of theSpanish Empire,William McKinley,Cost ~$250M; resulted in US imperial expansion,"A short, decisive war that transformed the United States into a global imperial power. Following the explosion of the USS Maine in Havana harbor, the US defeated Spain in both the Caribbean and Pacific, acquiring Cuba (as a protectorate), Puerto Rico, Guam, and the Philippines.",1898,1898,Yes,Victory,No
60,19th Century,Philippines ,US victory: Occupation of the Philippines. Establishment of the Insular Government of the Philippine Islands. General Emilio Aguinaldo captured. Dissolution of the First Philippine Republic,"William McKinley (March 4, 1897 - September 14, 1901), Theodore Roosevelt (September 14, 1901 - March 4, 1909)",Costly counterinsurgency; ~$400M expenditure,"A brutal counterinsurgency war after the US refused to recognize Philippine independence following the Spanish-American War. Filipino forces under Emilio Aguinaldo initially fought in conventional battles, then shifted to guerrilla tactics; the war involved widespread atrocities on both sides and became deeply controversial at home.",1899,1902,No,Victory,No
